"Line","LineType","FromBus","ToBus","Reactance","FlowLimitForw","FlowLimitBack","FOR"
"F-66.To.F-71","AC","F-66","F-71",0.05241,10000,10000,0.003
"F-67.To.F-78","AC","F-67","F-78",0.01654,10000,10000,0.003
"F-79.To.F-67","AC","F-79","F-67",0.12774,10000,10000,0.003
"F-81.To.F-67","AC","F-81","F-67",0.01244,10000,10000,0.003
"F-69.To.F-68","AC","F-69","F-68",0.05783,10000,10000,0.003
"F-68.To.F-75","AC","F-68","F-75",0.05026,10000,10000,0.003
"F-87.To.F-68","AC","F-87","F-68",0.04327,10000,10000,0.003
"F-74.To.F-70","AC","F-74","F-70",0.05367,10000,10000,0.003
"F-70.To.F-89","AC","F-70","F-89",0.06839,10000,10000,0.003
"F-71.To.F-100","AC","F-71","F-100",0.03115,10000,10000,0.003
"F-71.To.F-100.(2)","AC","F-71","F-100",0.06921,10000,10000,0.003
"F-71.To.F_113","AC","F-71","F_113",0.03171,10000,10000,0.003
"F-72.To.F-93","AC","F-72","F-93",0.04671,10000,10000,0.003
"F-96.To.F-72","AC","F-96","F-72",0.24166,10000,10000,0.003
"F-73.To.F-94","AC","F-73","F-94",0.07722,10000,10000,0.003
"F-95.To.F-73","AC","F-95","F-73",0.11752,10000,10000,0.003
"F-81.To.F-74","AC","F-81","F-74",0.02591,10000,10000,0.003
"F-74.To.F-89","AC","F-74","F-89",0.01721,10000,10000,0.003
"F-74.To.F-98","AC","F-74","F-98",0.01054,10000,10000,0.003
"F-75.To.F-96","AC","F-75","F-96",0.06392,10000,10000,0.003
"F-76.To.F-82","AC","F-76","F-82",0.01586,10000,10000,0.003
"F-81.To.F-77","AC","F-81","F-77",0.01537,10000,10000,0.003
"F-80.To.F-79","AC","F-80","F-79",0.13086,10000,10000,0.003
"F-79.To.F-106","AC","F-79","F-106",0.06199,10000,10000,0.003
"F-90.To.F-80","AC","F-90","F-80",0.0833,10000,10000,0.003
"F-80.To.F-117","AC","F-80","F-117",0.08714,10000,10000,0.003
"F-81.To.F-98","AC","F-81","F-98",0.01581,10000,10000,0.003
"F-81.To.F-114","AC","F-81","F-114",0.01243,10000,10000,0.003
"F-81.To.F-118","AC","F-81","F-118",0.03842,10000,10000,0.003
"F-118.To.F-81.(2)","AC","F-118","F-81",0.0134,10000,10000,0.003
"F-87.To.F-83","AC","F-87","F-83",0.04102,10000,10000,0.003
"F-93.To.F-83","AC","F-93","F-83",0.00515,10000,10000,0.003
"F-84.To.F-95","AC","F-84","F-95",0.02803,10000,10000,0.003
"F-88.To.F-85","AC","F-88","F-85",0.03764,10000,10000,0.003
"F-85.To.F-90","AC","F-85","F-90",0.09897,10000,10000,0.003
"F-85.To.F-113","AC","F-85","F-113",0.10727,10000,10000,0.003
"F-86.To.F-97","AC","F-86","F-97",0.03686,10000,10000,0.003
"F-101.To.F-86","AC","F-101","F-86",0.06893,10000,10000,0.003
"F-87.To.F-89","AC","F-87","F-89",0.0057,10000,10000,0.003
"F-87.To.F-96","AC","F-87","F-96",0.01269,10000,10000,0.003
"F-87.To.F-98","AC","F-87","F-98",0.01839,10000,10000,0.003
"F-87.To.F-149","AC","F-87","F-149",0.03109,10000,10000,0.003
"F-94.To.F-88","AC","F-94","F-88",0.05204,10000,10000,0.003
"F-113.To.F-90","AC","F-113","F-90",0.01236,10000,10000,0.003
"F-91.To.F-92","AC","F-91","F-92",0.02237,10000,10000,0.003
"F-91.To.F-92.(2)","AC","F-91","F-92",0.061,10000,10000,0.003
"F-92.To.F-95","AC","F-92","F-95",0.03229,10000,10000,0.003
"F-92.To.F-115","AC","F-92","F-115",0.06263,10000,10000,0.003
"F-92.To.F-115.(2)","AC","F-92","F-115",0.05921,10000,10000,0.003
"F-154/15.To.F-92","AC","F-154/15","F-92",0.05158,10000,10000,0.003
"F-93.To.F-101","AC","F-93","F-101",0.01973,10000,10000,0.003
"F-104.To.F-93","AC","F-104","F-93",0.04204,10000,10000,0.003
"F-93.To.F-107","AC","F-93","F-107",0.02055,10000,10000,0.003
"F-94.To.F-113","AC","F-94","F-113",0.04912,10000,10000,0.003
"F-96.To.F-102","AC","F-96","F-102",0.03472,10000,10000,0.003
"F-96.To.F-110","AC","F-96","F-110",0.09183,10000,10000,0.003
"F-149.To.F-96","AC","F-149","F-96",0.04797,10000,10000,0.003
"F-97.To.F-107","AC","F-97","F-107",0.03387,10000,10000,0.003
"F-98.To.F-105","AC","F-98","F-105",0.03225,10000,10000,0.003
"F-111.To.F-98","AC","F-111","F-98",0.06266,10000,10000,0.003
"F-125.To.F-98","AC","F-125","F-98",0.03624,10000,10000,0.003
"F-98.To.F-133","AC","F-98","F-133",0.0154,10000,10000,0.003
"F-133.To.F-98.(2)","AC","F-133","F-98",0.0363,10000,10000,0.003
"F-118.To.F-99","AC","F-118","F-99",0.03209,10000,10000,0.003
"F-100.To.F_113","AC","F-100","F_113",0.02966,10000,10000,0.003
"F-101.To.F-108","AC","F-101","F-108",0.01794,10000,10000,0.003
"F-102.To.F-124","AC","F-102","F-124",0.0948,10000,10000,0.003
"F-103.To.F-106","AC","F-103","F-106",0.03594,10000,10000,0.003
"F-120.To.F-105","AC","F-120","F-105",0.03315,10000,10000,0.003
"F-106.To.F-128","AC","F-106","F-128",0.06137,10000,10000,0.003
"F_113.To.F-107","AC","F_113","F-107",0.00607,10000,10000,0.003
"F-118.To.F-109","AC","F-118","F-109",0.02746,10000,10000,0.003
"F-110.To.F-119","AC","F-110","F-119",0.05909,10000,10000,0.003
"F-125.To.F-111","AC","F-125","F-111",0.05007,10000,10000,0.003
"F_113.To.F_Sieren","AC","F_113","F_Sieren",0.00642,10000,10000,0.003
"F_113.To.F_Sieren.(2)","AC","F_113","F_Sieren",0.01598,10000,10000,0.003
"F_113.To.D_Eichst","AC","F_113","D_Eichst",0.00416,1790,1790,0.003
"F-113.To.F-128","AC","F-113","F-128",0.0358,10000,10000,0.003
"F-113.To.F-136","AC","F-113","F-136",0.00898,10000,10000,0.003
"F-154/15.To.F-113","AC","F-154/15","F-113",0.1114,10000,10000,0.003
"F-118.To.F-114","AC","F-118","F-114",0.00965,10000,10000,0.003
"F-114.To.F-133","AC","F-114","F-133",0.00843,10000,10000,0.003
"F-114.To.F-142","AC","F-114","F-142",0.01701,10000,10000,0.003
"F-126.To.F-115","AC","F-126","F-115",0.03805,10000,10000,0.003
"F-115.To.F-130","AC","F-115","F-130",0.08952,10000,10000,0.003
"F-116.To.F-128","AC","F-116","F-128",0.01978,10000,10000,0.003
"F-117.To.F-146","AC","F-117","F-146",0.0858,10000,10000,0.003
"F-118.To.F-132","AC","F-118","F-132",0.01543,10000,10000,0.003
"F-118.To.F-137","AC","F-118","F-137",0.01261,10000,10000,0.003
"F-119.To.F-131","AC","F-119","F-131",0.099,10000,10000,0.003
"F-120.To.F-133","AC","F-120","F-133",0.03759,10000,10000,0.003
"F-121.To.F_Sieren","AC","F-121","F_Sieren",0.04156,10000,10000,0.003
"F_Sieren.To.F-121.(2)","AC","F_Sieren","F-121",0.01937,10000,10000,0.003
"F-128.To.F-122","AC","F-128","F-122",0.05243,10000,10000,0.003
"F-130.To.F-123","AC","F-130","F-123",0.1245,10000,10000,0.003
"F-123.To.F-147","AC","F-123","F-147",0.10445,10000,10000,0.003
"F-124.To.F-149","AC","F-124","F-149",0.09294,10000,10000,0.003
"F-127.To.F-125","AC","F-127","F-125",0.01585,10000,10000,0.003
"F-134.To.F-125","AC","F-134","F-125",0.04932,10000,10000,0.003
"F-125.To.F-149","AC","F-125","F-149",0.04288,10000,10000,0.003
"F-130.To.F-126","AC","F-130","F-126",0.06672,10000,10000,0.003
"F-143.To.F-127","AC","F-143","F-127",0.05017,10000,10000,0.003
"F-144.To.F-128","AC","F-144","F-128",0.01109,10000,10000,0.003
"F-128.To.F-157","AC","F-128","F-157",0.046,10000,10000,0.003
"F_Sieren.To.F-135","AC","F_Sieren","F-135",0.07446,10000,10000,0.003
"F-135.To.F_Sieren.(2)","AC","F-135","F_Sieren",0.08247,10000,10000,0.003
"F_Sieren.To.F_Mambel","AC","F_Sieren","F_Mambel",0.02112,10000,10000,0.003
"F-130.To.F-138","AC","F-130","F-138",0.0744,10000,10000,0.003
"F-130.To.F-147","AC","F-130","F-147",0.15076,10000,10000,0.003
"F-131.To.F-135","AC","F-131","F-135",0.07146,10000,10000,0.003
"F-132.To.F-137","AC","F-132","F-137",0.00557,10000,10000,0.003
"F-132.To.F-173","AC","F-132","F-173",0.14582,10000,10000,0.003
"F-132.To.F-183","AC","F-132","F-183",0.1865,10000,10000,0.003
"F-133.To.F-165","AC","F-133","F-165",0.03535,10000,10000,0.003
"F-165.To.F-133.(2)","AC","F-165","F-133",0.03817,10000,10000,0.003
"F-133.To.F-166","AC","F-133","F-166",0.14433,10000,10000,0.003
"F-149.To.F-134","AC","F-149","F-134",0.08099,10000,10000,0.003
"F-135.To.F_Mambel","AC","F-135","F_Mambel",0.01905,10000,10000,0.003
"F-135.To.F_Mambel.(2)","AC","F-135","F_Mambel",0.02844,10000,10000,0.003
"F-136.To.F-154/15","AC","F-136","F-154/15",0.01225,10000,10000,0.003
"F-137.To.F-139","AC","F-137","F-139",0.00691,10000,10000,0.003
"F-137.To.F-183","AC","F-137","F-183",0.05305,10000,10000,0.003
"F-138.To.F-147","AC","F-138","F-147",0.06923,10000,10000,0.003
"F-139.To.F-140","AC","F-139","F-140",0.00671,10000,10000,0.003
"F-144.To.F-140","AC","F-144","F-140",0.00941,10000,10000,0.003
"F_Mambel.To.F-148","AC","F_Mambel","F-148",0.03342,10000,10000,0.003
"F-163.To.F_Mambel","AC","F-163","F_Mambel",0.11627,10000,10000,0.003
"F_Mambel.To.F-195","AC","F_Mambel","F-195",0.06628,10000,10000,0.003
"F-142.To.F-166","AC","F-142","F-166",0.01554,10000,10000,0.003
"F-143.To.F-152","AC","F-143","F-152",0.0352,10000,10000,0.003
"F-144.To.F-151","AC","F-144","F-151",0.00521,10000,10000,0.003
"F-159.To.F-144","AC","F-159","F-144",0.01842,10000,10000,0.003
"F-149.To.F-145","AC","F-149","F-145",0.04482,10000,10000,0.003
"F-146.To.F-159","AC","F-146","F-159",0.02882,10000,10000,0.003
"F-147.To.F-154/15","AC","F-147","F-154/15",0.01599,10000,10000,0.003
"F-147.To.F-154/15.(2)","AC","F-147","F-154/15",0.01549,10000,10000,0.003
"F-148.To.F-168","AC","F-148","F-168",0.06282,10000,10000,0.003
"F-149.To.F-150","AC","F-149","F-150",0.03992,10000,10000,0.003
"F-158.To.F-149","AC","F-158","F-149",0.11682,10000,10000,0.003
"F-149.To.F-167","AC","F-149","F-167",0.01053,10000,10000,0.003
"F-176.To.F-149","AC","F-176","F-149",0.03231,10000,10000,0.003
"F-149.To.F-195","AC","F-149","F-195",0.07201,10000,10000,0.003
"F-195.To.F-149.(2)","AC","F-195","F-149",0.03555,10000,10000,0.003
"F-158.To.F-150","AC","F-158","F-150",0.06067,10000,10000,0.003
"F-157.To.F-151","AC","F-157","F-151",0.01157,10000,10000,0.003
"F-152.To.F-166","AC","F-152","F-166",0.06521,10000,10000,0.003
"F-154/15.To.F-153","AC","F-154/15","F-153",0.02157,10000,10000,0.003
"F-159.To.F-154/15","AC","F-159","F-154/15",0.03562,10000,10000,0.003
"F-154/15.To.F-160","AC","F-154/15","F-160",0.03627,10000,10000,0.003
"F-154/15.To.F-160.(2)","AC","F-154/15","F-160",0.01653,10000,10000,0.003
"F-157.To.F-159","AC","F-157","F-159",0.00738,10000,10000,0.003
"F-158.To.F-169","AC","F-158","F-169",0.07658,10000,10000,0.003
"F-158.To.F-171","AC","F-158","F-171",0.05946,10000,10000,0.003
"F-159.To.F-164","AC","F-159","F-164",0.0927,10000,10000,0.003
"F-164.To.F-159.(2)","AC","F-164","F-159",0.10344,10000,10000,0.003
"F-159.To.F-170","AC","F-159","F-170",0.1042,10000,10000,0.003
"F-170.To.F-159.(2)","AC","F-170","F-159",0.10382,10000,10000,0.003
"F-175.To.F-159","AC","F-175","F-159",0.00965,10000,10000,0.003
"F-160.To.F-162","AC","F-160","F-162",0.05551,10000,10000,0.003
"F-160.To.F-164","AC","F-160","F-164",0.09683,10000,10000,0.003
"F-160.To.F-172","AC","F-160","F-172",0.06108,10000,10000,0.003
"F-161.To.F-165","AC","F-161","F-165",0.08272,10000,10000,0.003
"F-164.To.F-162","AC","F-164","F-162",0.04377,10000,10000,0.003
"F-164.To.F-190/19","AC","F-164","F-190/19",0.11978,10000,10000,0.003
"F-165.To.F-183","AC","F-165","F-183",0.11673,10000,10000,0.003
"F-183.To.F-165.(2)","AC","F-183","F-165",0.03704,10000,10000,0.003
"F-193.To.F-165","AC","F-193","F-165",0.02351,10000,10000,0.003
"F-234.To.F-165","AC","F-234","F-165",0.07714,10000,10000,0.003
"F-193.To.F-166","AC","F-193","F-166",0.015,10000,10000,0.003
"F-167.To.F-174","AC","F-167","F-174",0.00652,10000,10000,0.003
"F-168.To.F-195","AC","F-168","F-195",0.0943,10000,10000,0.003
"F-176.To.F-169","AC","F-176","F-169",0.02058,10000,10000,0.003
"F-170.To.F-180","AC","F-170","F-180",0.04043,10000,10000,0.003
"F-170.To.F-183","AC","F-170","F-183",0.13395,10000,10000,0.003
"F-171.To.F-181","AC","F-171","F-181",0.03696,10000,10000,0.003
"F-172.To.F-178","AC","F-172","F-178",0.033,10000,10000,0.003
"F-173.To.F-183","AC","F-173","F-183",0.05746,10000,10000,0.003
"F-174.To.F-176","AC","F-174","F-176",0.03768,10000,10000,0.003
"F-177.To.F-174","AC","F-177","F-174",0.04496,10000,10000,0.003
"F-174.To.F-187","AC","F-174","F-187",0.01038,10000,10000,0.003
"F-175.To.F-196","AC","F-175","F-196",0.01653,10000,10000,0.003
"F-177.To.F-176","AC","F-177","F-176",0.07635,10000,10000,0.003
"F-176.To.F-215","AC","F-176","F-215",0.12583,10000,10000,0.003
"F-197.To.F-178","AC","F-197","F-178",0.09642,10000,10000,0.003
"F-193.To.F-179","AC","F-193","F-179",0.02732,10000,10000,0.003
"F-180.To.F-185","AC","F-180","F-185",0.02384,10000,10000,0.003
"F-189.To.F-181","AC","F-189","F-181",0.03976,10000,10000,0.003
"F-181.To.F-195","AC","F-181","F-195",0.04641,10000,10000,0.003
"F-182.To.F_Cornie","AC","F-182","F_Cornie",0.01726,10000,10000,0.003
"F-185.To.F-183","AC","F-185","F-183",0.01871,10000,10000,0.003
"F-186.To.F-183","AC","F-186","F-183",0.10348,10000,10000,0.003
"F-183.To.F-201","AC","F-183","F-201",0.04738,10000,10000,0.003
"F-183.To.F-203","AC","F-183","F-203",0.06231,10000,10000,0.003
"F-183.To.F-208","AC","F-183","F-208",0.09595,10000,10000,0.003
"F-209.To.F-183","AC","F-209","F-183",0.03708,10000,10000,0.003
"F-227.To.F-183","AC","F-227","F-183",0.1503,10000,10000,0.003
"F-183.To.F-255","AC","F-183","F-255",0.09254,10000,10000,0.003
"F-195.To.F_BoisTo","AC","F-195","F_BoisTo",0.00447,10000,10000,0.003
"F-196.To.F-185","AC","F-196","F-185",0.02586,10000,10000,0.003
"F-186.To.F-188","AC","F-186","F-188",0.02776,10000,10000,0.003
"F-187.To.F-204","AC","F-187","F-204",0.00851,10000,10000,0.003
"F-188.To.F-193","AC","F-188","F-193",0.0515,10000,10000,0.003
"F-189.To.F-195","AC","F-189","F-195",0.05062,10000,10000,0.003
"F-190/19.To.F-196","AC","F-190/19","F-196",0.02757,10000,10000,0.003
"F-197.To.F-190/19","AC","F-197","F-190/19",0.08458,10000,10000,0.003
"F-190/19.To.F-221/22","AC","F-190/19","F-221/22",0.11535,10000,10000,0.003
"F_Cornie.To.F-194","AC","F_Cornie","F-194",0.02775,10000,10000,0.003
"F-195.To.F_Cornie","AC","F-195","F_Cornie",0.02172,10000,10000,0.003
"F-195.To.F_Cornie.(2)","AC","F-195","F_Cornie",0.06123,10000,10000,0.003
"F-193.To.F-199","AC","F-193","F-199",0.01837,10000,10000,0.003
"F-193.To.F-200","AC","F-193","F-200",0.08868,10000,10000,0.003
"F-193.To.F-213","AC","F-193","F-213",0.07049,10000,10000,0.003
"F-193.To.F-220","AC","F-193","F-220",0.01358,10000,10000,0.003
"F-198.To.F-194","AC","F-198","F-194",0.03318,10000,10000,0.003
"F-202.To.F-195","AC","F-202","F-195",0.0467,10000,10000,0.003
"F-206.To.F-195","AC","F-206","F-195",0.07352,10000,10000,0.003
"F-195.To.F-210","AC","F-195","F-210",0.01161,10000,10000,0.003
"F-195.To.F-211","AC","F-195","F-211",0.02967,10000,10000,0.003
"F-195.To.F-215","AC","F-195","F-215",0.12109,10000,10000,0.003
"F-196.To.F-207","AC","F-196","F-207",0.02631,10000,10000,0.003
"F-196.To.F-224","AC","F-196","F-224",0.01266,10000,10000,0.003
"F-197.To.F-207","AC","F-197","F-207",0.03803,10000,10000,0.003
"F-197.To.F-221/22","AC","F-197","F-221/22",0.15867,10000,10000,0.003
"F-198.To.F-212","AC","F-198","F-212",0.03936,10000,10000,0.003
"F-199.To.F-204","AC","F-199","F-204",0.03738,10000,10000,0.003
"F-201.To.F-205","AC","F-201","F-205",0.02539,10000,10000,0.003
"F-214.To.F-201","AC","F-214","F-201",0.04554,10000,10000,0.003
"F-211.To.F-202","AC","F-211","F-202",0.05275,10000,10000,0.003
"F-227.To.F-203","AC","F-227","F-203",0.10425,10000,10000,0.003
"F-204.To.F-206","AC","F-204","F-206",0.01307,10000,10000,0.003
"F-204.To.F-215","AC","F-204","F-215",0.01189,10000,10000,0.003
"F-204.To.F-215.(2)","AC","F-204","F-215",0.0264,10000,10000,0.003
"F-206.To.F-215","AC","F-206","F-215",0.02515,10000,10000,0.003
"F-227.To.F-208","AC","F-227","F-208",0.06004,10000,10000,0.003
"F-247.To.F-209","AC","F-247","F-209",0.0645,10000,10000,0.003
